generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
7,529,10,0,0,5.128,16.65,1.62,54,4,5,4,0,1,0.07407,89.32,16.0,0.0,-0.54,-16.0,-25.5,-12.0
8,1006,10,0,0,16.913,28.03,1.37,204,6,5,2,1,1,0.02941,186.92,24.0,18.0,-2.04,-8.0,-33.75,-16.0
9,641,10,0,0,4.47,8.56,0.62,109,3,5,9,0,1,0.02752,83.04,12.0,0.0,-1.09,-36.0,-11.25,-2.0
0,527,10,0,0,3.83,4.79,2.25,58,0,5,4,0,1,0.0,95.38,0.0,0.0,-0.58,-16.0,-28.5,-12.0
1,510,10,0,0,2.046,4.45,-0.3,0,0,5,6,0,1,0.0,67.46,0.0,0.0,0.0,-24.0,-15.0,-8.0
2,611,10,0,0,4.462,6.47,0.7,21,0,5,6,0,1,0.0,97.08,0.0,0.0,-0.21,-24.0,-20.25,-8.0
3,492,10,0,0,3.486,4.09,1.07,0,0,5,2,0,1,0.0,90.36,0.0,0.0,0.0,-8.0,-31.5,-16.0
4,525,10,0,0,4.648,4.75,3.91,18,0,5,1,0,1,0.0,104.66,0.0,0.0,-0.18,-4.0,-36.0,-18.0
5,533,10,0,0,4.433,4.91,0.14,0,0,5,1,0,1,0.0,100.08,0.0,0.0,0.0,-4.0,-33.75,-18.0
6,615,10,0,0,6.498,14.43,3.06,33,2,5,3,0,1,0.06061,111.06,8.0,0.0,-0.33,-12.0,-27.75,-14.0
7,550,10,0,0,5.132,9.18,2.53,22,1,5,2,0,1,0.04545,106.04,4.0,0.0,-0.22,-8.0,-34.5,-16.0
8,191,10,0,5,0.99,3.81,-0.24,30,3,0,10,0,0,0.1,38.2,12.0,0.0,-0.3,-40.0,0.0,0.0
9,636,10,0,0,6.011,6.97,0.54,18,0,5,3,0,1,0.0,118.54,0.0,0.0,-0.18,-12.0,-32.25,-14.0
10,549,10,0,0,4.048,5.23,0.9,0,0,5,4,0,1,0.0,95.48,0.0,0.0,0.0,-16.0,-27.0,-12.0
11,934,10,0,0,8.134,15.27,0.44,5,3,5,7,1,1,0.6,117.64,12.0,6.0,-0.05,-28.0,-20.25,-6.0
12,588,10,0,0,3.59,6.01,2.24,16,0,5,8,0,1,0.0,87.06,0.0,0.0,-0.16,-32.0,-15.0,-4.0
13,545,10,0,0,4.911,9.03,0.28,65,2,5,2,0,1,0.03077,95.76,8.0,0.0,-0.65,-8.0,-30.0,-16.0
14,642,10,0,0,8.969,14.87,6.87,121,5,5,0,0,1,0.04132,128.4,20.0,0.0,-1.21,0.0,-37.5,-20.0
15,414,10,0,0,1.474,4.5,-0.66,74,2,5,8,0,1,0.02703,50.98,8.0,0.0,-0.74,-32.0,-7.5,-4.0
16,455,10,0,0,3.207,3.49,2.99,125,0,5,9,0,1,0.0,81.82,0.0,0.0,-1.25,-36.0,-10.5,-2.0
17,368,10,0,0,0.63,1.52,0.34,44,0,5,8,0,1,0.0,62.24,0.0,0.0,-0.44,-32.0,-19.5,-4.0
18,583,10,0,0,4.889,9.71,3.13,117,3,5,8,0,1,0.02564,93.56,12.0,0.0,-1.17,-32.0,-19.5,-4.0
19,436,10,0,0,3.227,6.82,2.82,143,1,5,0,0,1,0.00699,87.2,4.0,0.0,-1.43,0.0,-37.5,-20.0
20,599,10,0,0,6.251,10.03,4.01,170,2,5,3,0,1,0.01176,117.46,8.0,0.0,-1.7,-12.0,-35.25,-14.0
21,652,10,0,0,5.907,11.07,1.01,167,2,5,4,0,1,0.01198,106.24,8.0,0.0,-1.67,-16.0,-25.5,-12.0
22,396,10,0,0,1.909,6.03,-0.6,56,2,5,5,0,1,0.03571,66.4,8.0,0.0,-0.56,-20.0,-24.75,-10.0
23,478,10,0,0,4.884,11.65,3.65,126,3,5,0,0,1,0.02381,95.6,12.0,0.0,-1.26,0.0,-37.5,-20.0
24,566,10,0,0,4.375,6.72,1.85,147,1,5,5,0,1,0.0068,93.72,4.0,0.0,-1.47,-20.0,-22.5,-10.0
25,475,10,0,0,3.851,7.59,2.13,103,2,5,4,0,1,0.01942,88.04,8.0,0.0,-1.03,-16.0,-28.5,-12.0
26,662,10,0,0,7.705,13.87,5.63,196,3,5,5,0,1,0.01531,121.76,12.0,0.0,-1.96,-20.0,-24.75,-10.0
27,671,10,0,0,4.429,11.44,0.95,110,1,5,6,0,1,0.00909,90.64,4.0,0.0,-1.1,-24.0,-17.25,-8.0
28,571,10,0,0,5.535,17.47,1.4,120,3,5,3,0,1,0.025,96.8,12.0,0.0,-1.2,-12.0,-26.25,-14.0
29,469,10,0,0,3.529,3.63,3.47,101,0,5,0,0,1,0.0,93.8,0.0,0.0,-1.01,0.0,-37.5,-20.0
30,517,10,0,0,2.651,4.59,1.78,42,0,5,7,0,1,0.0,72.18,0.0,0.0,-0.42,-28.0,-11.25,-6.0
31,527,10,0,1,3.416,7.36,1.76,74,2,4,10,0,0,0.02703,89.4,8.0,0.0,-0.74,-40.0,-22.5,0.0
32,521,10,0,0,5.362,12.49,4.49,108,2,5,0,0,1,0.01852,104.2,8.0,0.0,-1.08,0.0,-37.5,-20.0
33,515,10,0,0,3.252,4.55,2.34,68,0,5,6,0,1,0.0,98.2,0.0,0.0,-0.68,-24.0,-33.0,-8.0
34,495,10,0,0,4.065,4.15,3.98,85,0,5,0,0,1,0.0,99.0,0.0,0.0,-0.85,0.0,-37.5,-20.0
35,484,10,0,0,3.76,3.93,2.23,0,0,5,1,0,1,0.0,94.1,0.0,0.0,0.0,-4.0,-34.5,-18.0
36,498,10,0,0,4.593,8.04,4.21,17,1,5,0,0,1,0.05882,99.6,4.0,0.0,-0.17,0.0,-37.5,-20.0
37,521,10,0,0,4.221,4.67,0.9,72,0,5,1,0,1,0.0,98.68,0.0,0.0,-0.72,-4.0,-33.75,-18.0
