generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
20,13641,10,0,2,5.34267,22.67667,-8.085,426,39,75,16,1,14,0.09155,136.41,312.0,3.0,-2.13,-172.0,-75.0,-42.0
21,13844,10,0,3,0.26833,11.24833,-7.36,478,26,63,21,1,9,0.05439,138.44,208.0,3.0,-2.39,-249.0,-63.0,-27.0
22,16320,10,0,2,6.41667,28.77167,-3.685,540,43,84,18,2,12,0.07963,163.2,356.0,6.0,-2.7,-210.0,-84.0,-36.0
23,15349,10,0,3,8.22833,40.80833,-5.22167,528,55,63,23,3,7,0.10417,153.49,452.0,9.0,-2.64,-281.0,-63.0,-21.0
24,13913,10,0,3,5.8915,16.405,-3.11167,477,50,70,23,2,7,0.10482,139.13,400.0,6.0,-2.385,-275.0,-70.0,-21.0
25,16663,10,0,2,7.96033,28.23667,-2.55667,564,49,90,17,3,13,0.08688,166.63,392.0,9.0,-2.82,-197.0,-90.0,-39.0
26,14859,10,0,2,2.35317,15.13167,-5.05,399,27,101,14,1,16,0.06767,148.59,216.0,3.0,-1.995,-146.0,-101.0,-48.0
27,18160,10,0,1,7.67083,17.45833,1.59167,495,44,120,13,3,17,0.08889,181.6,352.0,9.0,-2.475,-139.0,-120.0,-51.0
28,13545,10,0,3,3.26083,18.44,-10.21,325,38,57,25,1,5,0.11692,135.45,304.0,3.0,-1.625,-271.0,-57.0,-15.0
29,15901,10,0,2,7.32867,27.40167,-3.17667,430,45,85,17,2,13,0.10465,159.01,360.0,6.0,-2.15,-179.0,-85.0,-39.0
30,14065,10,0,2,3.1255,17.17833,-5.305,377,31,83,15,0,15,0.08223,140.65,248.0,0.0,-1.885,-165.0,-83.0,-45.0
31,15397,10,0,2,3.0655,13.10833,-5.87333,401,30,100,14,2,16,0.07481,153.97,240.0,6.0,-2.005,-158.0,-100.0,-48.0
